net,cost
netlist_1,140022
netlist_1,215274
netlist_1,72216
netlist_1,431056
netlist_1,403024
netlist_1,749424
netlist_1,276524
netlist_1,74392
netlist_1,132722
netlist_1,265718
netlist_1,63048
netlist_1,254084
netlist_1,204714
netlist_1,612992
netlist_1,294938
netlist_1,158106
netlist_1,679544
netlist_1,246434
netlist_1,130422
netlist_1,255852
netlist_1,391196
netlist_1,455870
netlist_1,500972
netlist_1,223284
netlist_1,403244
netlist_1,274646
netlist_1,371152
netlist_1,429836
netlist_1,449624
netlist_1,403500
netlist_1,517616
netlist_1,542766
netlist_1,348342
netlist_1,285724
netlist_1,462270
netlist_1,458680
netlist_1,297036
netlist_1,58108
netlist_1,392376
netlist_1,297672
netlist_1,104092
netlist_1,336102
netlist_1,53498
netlist_1,76848
netlist_1,24154
netlist_1,137894
netlist_1,233078
netlist_1,162250
netlist_1,213916
netlist_1,212164
netlist_1,88524
netlist_1,233152
netlist_1,154428
netlist_1,201614
netlist_1,601204
netlist_1,218336
netlist_1,344608
netlist_1,113734
netlist_1,88354
netlist_1,190742
netlist_1,107610
netlist_1,355272
netlist_1,593572
netlist_1,422148
netlist_1,287166
netlist_1,131254
netlist_1,332590
netlist_1,406854
netlist_1,234626
netlist_1,161948
netlist_1,262548
netlist_1,145206
netlist_1,178882
netlist_1,220076
netlist_1,541274
netlist_1,259068
netlist_1,443508
netlist_1,91868
netlist_1,41106
netlist_1,680830
netlist_1,377058
netlist_1,206280
netlist_1,475292
netlist_1,432920
netlist_1,254102
netlist_1,169632
netlist_1,322952
netlist_1,116750
netlist_1,126866
netlist_1,482192
netlist_1,405396
netlist_1,172188
netlist_1,283796
netlist_1,383008
netlist_1,160448
netlist_1,437814
netlist_1,209990
netlist_1,192234
netlist_1,229758
netlist_1,442952
netlist_1,180008
netlist_1,349892
netlist_1,500476
netlist_1,503326
netlist_1,448800
netlist_1,550088
netlist_1,342996
netlist_1,249812
netlist_1,372476
netlist_1,271452
netlist_1,437440
netlist_1,137948
netlist_1,87992
netlist_1,81790
netlist_1,237134
netlist_1,526352
netlist_1,142822
netlist_1,253972
netlist_1,117740
netlist_1,96332
netlist_1,441504
netlist_1,497664
netlist_1,436938
netlist_1,511896
netlist_1,150336
netlist_1,565500
netlist_1,275284
netlist_1,228070
netlist_1,378314
netlist_1,697392
netlist_1,68254
netlist_1,389262
netlist_1,164662
netlist_1,22708
netlist_1,150998
netlist_1,778258
netlist_1,125008
netlist_1,216536
netlist_1,343390
netlist_1,522808
netlist_1,202560
netlist_1,345986
netlist_1,358902
netlist_1,195190
netlist_1,203812
netlist_1,174266
netlist_1,185770
netlist_1,415160
netlist_1,462874
netlist_1,342052
netlist_1,6618
netlist_1,152410
netlist_1,216458
netlist_1,435068
netlist_1,435202
netlist_1,583896
netlist_1,293796
netlist_1,520958
netlist_1,390500
netlist_1,201366
netlist_1,473794
netlist_1,149056
netlist_1,164420
netlist_1,246142
netlist_1,175686
netlist_1,133794
netlist_1,249324
netlist_1,253064
netlist_1,404580
netlist_1,84718
netlist_1,224702
netlist_1,100408
netlist_1,207546
netlist_1,277076
netlist_1,194824
netlist_1,232774
netlist_1,231050
netlist_1,158458
netlist_1,206426
netlist_1,298662
netlist_1,168400
netlist_1,96040
netlist_1,189320
netlist_1,111996
netlist_1,160098
netlist_1,472430
netlist_1,217570
netlist_1,333684
netlist_1,40444
netlist_1,152322
netlist_1,44854
netlist_1,167658
netlist_1,111970
netlist_1,341798
netlist_1,426130
netlist_1,446262
netlist_1,43124
netlist_1,123608
netlist_1,380880
netlist_1,249640
