net,cost
netlist_1,294216
netlist_1,475444
netlist_1,213636
netlist_1,406874
netlist_1,316830
netlist_1,123350
netlist_1,519518
netlist_1,478098
netlist_1,94338
netlist_1,317046
netlist_1,232048
netlist_1,274098
netlist_1,116094
netlist_1,396488
netlist_1,92596
netlist_1,102194
netlist_1,313146
netlist_1,90774
netlist_1,122160
netlist_1,77740
netlist_1,312830
netlist_1,279656
netlist_1,173558
netlist_1,70412
netlist_1,97830
netlist_1,145578
netlist_1,326616
netlist_1,156156
netlist_1,152838
netlist_1,187934
netlist_1,386276
netlist_1,59052
netlist_1,96616
netlist_1,187996
netlist_1,277584
netlist_1,107808
netlist_1,357808
netlist_1,163812
netlist_1,124576
netlist_1,454712
netlist_1,248014
netlist_1,120082
netlist_1,208980
netlist_1,203316
netlist_1,206822
netlist_1,225044
netlist_1,212866
netlist_1,170188
netlist_1,220410
netlist_1,230710
netlist_1,180028
netlist_1,317102
netlist_1,146150
netlist_1,80162
netlist_1,451146
netlist_1,120912
netlist_1,53338
netlist_1,473660
netlist_1,178810
netlist_1,455524
netlist_1,201386
netlist_1,44662
netlist_1,423294
netlist_1,225044
netlist_1,509836
netlist_1,36180
netlist_1,246902
netlist_1,228312
netlist_1,57448
netlist_1,291644
netlist_1,265892
netlist_1,106068
netlist_1,124628
netlist_1,795868
netlist_1,592068
netlist_1,650760
netlist_1,337594
netlist_1,186726
netlist_1,141068
netlist_1,137094
netlist_1,302242
netlist_1,233212
netlist_1,22532
netlist_1,372042
netlist_1,156354
netlist_1,352192
netlist_1,474538
netlist_1,442654
netlist_1,254516
netlist_1,299378
netlist_1,398184
netlist_1,451846
netlist_1,135560
netlist_1,187928
netlist_1,335760
netlist_1,152406
netlist_1,109430
netlist_1,223286
netlist_1,385474
netlist_1,552614
