net,cost
netlist_2,566999
netlist_2,385881
netlist_2,173939
netlist_2,179679
netlist_2,300129
netlist_2,215375
netlist_2,342385
netlist_2,204183
netlist_2,311897
netlist_2,305695
netlist_2,346107
netlist_2,165491
netlist_2,395377
netlist_2,580227
netlist_2,44571
netlist_2,315579
netlist_2,656725
netlist_2,287173
netlist_2,642259
netlist_2,298315
netlist_2,842991
netlist_2,244737
netlist_2,472915
netlist_2,675485
netlist_2,414823
netlist_2,390237
netlist_2,446369
netlist_2,737423
netlist_2,176361
netlist_2,535337
netlist_2,674535
netlist_2,281327
netlist_2,407307
netlist_2,502501
netlist_2,102151
netlist_2,399873
netlist_2,102795
netlist_2,362655
netlist_2,295033
netlist_2,554091
netlist_2,78219
netlist_2,308305
netlist_2,265435
netlist_2,393767
netlist_2,79587
netlist_2,700287
netlist_2,540347
netlist_2,562199
netlist_2,446439
netlist_2,455125
netlist_2,294773
netlist_2,252375
netlist_2,136095
netlist_2,214531
netlist_2,646923
netlist_2,202127
netlist_2,566075
netlist_2,986373
netlist_2,492671
netlist_2,517261
netlist_2,645439
netlist_2,324759
netlist_2,298491
netlist_2,485707
netlist_2,393093
netlist_2,419925
netlist_2,385913
netlist_2,415043
netlist_2,236437
netlist_2,411603
netlist_2,579795
netlist_2,199769
netlist_2,916915
netlist_2,465035
netlist_2,438709
netlist_2,128929
netlist_2,564185
netlist_2,257289
netlist_2,333621
netlist_2,200461
netlist_2,166833
netlist_2,357961
netlist_2,418225
netlist_2,218741
netlist_2,294945
netlist_2,114407
netlist_2,773885
netlist_2,328385
netlist_2,118741
netlist_2,252891
netlist_2,586489
netlist_2,611313
netlist_2,268461
netlist_2,38839
netlist_2,348279
netlist_2,233423
netlist_2,159685
netlist_2,217733
netlist_2,378763
netlist_2,473259
netlist_2,334363
netlist_2,407811
netlist_2,296799
netlist_2,304979
netlist_2,492413
netlist_2,612009
netlist_2,417613
netlist_2,332211
netlist_2,469197
netlist_2,526261
netlist_2,199275
netlist_2,257861
netlist_2,290085
netlist_2,176679
netlist_2,148189
netlist_2,476031
netlist_2,251365
netlist_2,482071
netlist_2,646061
netlist_2,389255
netlist_2,340439
netlist_2,328185
netlist_2,288131
netlist_2,232065
netlist_2,219647
netlist_2,403475
netlist_2,328013
netlist_2,327161
netlist_2,235349
netlist_2,186211
netlist_2,390131
netlist_2,381521
netlist_2,1073797
netlist_2,407585
netlist_2,212787
netlist_2,179409
netlist_2,50255
netlist_2,486367
netlist_2,311001
netlist_2,401081
netlist_2,482903
