net,cost
netlist_1,198880
netlist_1,200578
netlist_1,197612
netlist_1,90636
netlist_1,131268
netlist_1,54188
netlist_1,327250
netlist_1,418674
netlist_1,242242
netlist_1,471568
netlist_1,158254
netlist_1,187588
netlist_1,279280
netlist_1,60686
netlist_1,598370
netlist_1,86416
netlist_1,179450
netlist_1,189450
netlist_1,262944
netlist_1,410912
netlist_1,156466
netlist_1,375372
netlist_1,155636
netlist_1,175534
netlist_1,258490
netlist_1,241208
netlist_1,153050
netlist_1,105712
netlist_1,261152
netlist_1,277104
netlist_1,157504
netlist_1,149208
netlist_1,280674
netlist_1,351862
netlist_1,503790
netlist_1,684252
netlist_1,393964
netlist_1,92902
netlist_1,481332
netlist_1,204644
netlist_1,93626
netlist_1,126468
netlist_1,344910
netlist_1,162350
netlist_1,303942
netlist_1,353906
netlist_1,99320
netlist_1,227822
netlist_1,196842
netlist_1,23284
netlist_1,279744
netlist_1,308026
netlist_1,193430
netlist_1,259212
netlist_1,125520
netlist_1,241368
netlist_1,596432
netlist_1,694944
netlist_1,111028
netlist_1,293902
netlist_1,360624
netlist_1,414334
netlist_1,466978
netlist_1,449386
netlist_1,895786
netlist_1,265322
netlist_1,304102
netlist_1,128772
netlist_1,613614
netlist_1,172908
netlist_1,55946
netlist_1,469204
netlist_1,219884
netlist_1,658386
netlist_1,21722
netlist_1,162370
netlist_1,305984
netlist_1,539540
netlist_1,331284
netlist_1,268926
netlist_1,494704
netlist_1,64270
netlist_1,425016
netlist_1,523018
netlist_1,246142
netlist_1,202944
netlist_1,53926
netlist_1,375418
netlist_1,270850
netlist_1,204984
netlist_1,125202
netlist_1,278432
netlist_1,153168
netlist_1,298320
netlist_1,254338
netlist_1,283884
netlist_1,205602
netlist_1,227222
netlist_1,155560
netlist_1,254884
