net,cost
netlist_1,120928
netlist_1,385750
netlist_1,132932
netlist_1,128370
netlist_1,224814
netlist_1,402218
netlist_1,26222
netlist_1,244924
netlist_1,180092
netlist_1,362050
netlist_1,235810
netlist_1,125900
netlist_1,132036
netlist_1,287892
netlist_1,368862
netlist_1,220826
netlist_1,87256
netlist_1,103124
netlist_1,187374
netlist_1,235706
netlist_1,223576
netlist_1,348956
netlist_1,352976
netlist_1,590794
netlist_1,453386
netlist_1,351126
netlist_1,272568
netlist_1,299252
netlist_1,182392
netlist_1,160658
netlist_1,182544
netlist_1,231368
netlist_1,437560
netlist_1,289582
netlist_1,60248
netlist_1,171478
netlist_1,261950
netlist_1,206940
netlist_1,237684
netlist_1,302902
netlist_1,172622
netlist_1,419988
netlist_1,237596
netlist_1,158902
netlist_1,163774
netlist_1,104658
netlist_1,393816
netlist_1,86374
netlist_1,386714
netlist_1,152698
netlist_1,529512
netlist_1,93694
netlist_1,332676
netlist_1,124022
netlist_1,68510
netlist_1,93040
netlist_1,492002
netlist_1,325252
netlist_1,86662
netlist_1,307874
netlist_1,211508
netlist_1,284920
netlist_1,293966
netlist_1,415252
netlist_1,669266
netlist_1,258522
netlist_1,510992
netlist_1,75172
netlist_1,571208
netlist_1,488058
netlist_1,428718
netlist_1,297986
netlist_1,418658
netlist_1,92436
netlist_1,231858
netlist_1,117512
netlist_1,387414
netlist_1,282990
netlist_1,549412
netlist_1,544970
netlist_1,176092
netlist_1,484536
netlist_1,121980
netlist_1,440072
netlist_1,610028
netlist_1,290888
netlist_1,616340
netlist_1,84854
netlist_1,452790
netlist_1,213522
netlist_1,236932
netlist_1,332962
netlist_1,357542
netlist_1,518414
netlist_1,240168
netlist_1,134716
netlist_1,67632
netlist_1,142328
netlist_1,90674
netlist_1,259464
