net,cost
netlist_2,495267
netlist_2,383817
netlist_2,474161
netlist_2,557747
netlist_2,346631
netlist_2,206283
netlist_2,178129
netlist_2,394445
netlist_2,189541
netlist_2,228667
netlist_2,656395
netlist_2,568931
netlist_2,439109
netlist_2,412029
netlist_2,612903
netlist_2,668111
netlist_2,299509
netlist_2,443445
netlist_2,517285
netlist_2,273287
netlist_2,417561
netlist_2,319545
netlist_2,442373
netlist_2,151193
netlist_2,796681
netlist_2,452763
netlist_2,394243
netlist_2,369867
netlist_2,609517
netlist_2,533091
netlist_2,225001
netlist_2,323235
netlist_2,514381
netlist_2,144693
netlist_2,716155
netlist_2,121847
netlist_2,651359
netlist_2,422053
netlist_2,201629
netlist_2,422023
netlist_2,292551
netlist_2,821673
netlist_2,258629
netlist_2,512441
netlist_2,293071
netlist_2,733795
netlist_2,305687
netlist_2,497955
netlist_2,126181
netlist_2,372963
netlist_2,445883
netlist_2,424007
netlist_2,546983
netlist_2,535907
netlist_2,160127
netlist_2,646071
netlist_2,519299
netlist_2,349813
netlist_2,102129
netlist_2,417949
netlist_2,306335
netlist_2,422639
netlist_2,326199
netlist_2,487523
netlist_2,391913
netlist_2,508155
netlist_2,552733
netlist_2,364875
netlist_2,875515
netlist_2,331955
netlist_2,625491
netlist_2,257547
netlist_2,181755
netlist_2,608871
netlist_2,459269
netlist_2,354205
netlist_2,312545
netlist_2,189435
netlist_2,734929
netlist_2,423469
netlist_2,175467
netlist_2,550097
netlist_2,429185
netlist_2,690859
netlist_2,333159
netlist_2,170181
netlist_2,220841
netlist_2,340169
netlist_2,462645
netlist_2,686949
netlist_2,355177
netlist_2,352359
netlist_2,554963
netlist_2,292573
netlist_2,547301
netlist_2,495751
netlist_2,222787
netlist_2,215921
netlist_2,368423
netlist_2,343871
