net,cost
netlist_3,563428
netlist_3,791522
netlist_3,638028
netlist_3,369366
netlist_3,446704
netlist_3,845200
netlist_3,597682
netlist_3,476156
netlist_3,476476
netlist_3,543718
netlist_3,343598
netlist_3,377204
netlist_3,534748
netlist_3,307816
netlist_3,511090
netlist_3,606012
netlist_3,402402
netlist_3,863928
netlist_3,509630
netlist_3,516662
netlist_3,988340
netlist_3,612878
netlist_3,869004
netlist_3,572744
netlist_3,609160
netlist_3,406724
netlist_3,526564
netlist_3,1211484
netlist_3,570848
netlist_3,893064
netlist_3,262646
netlist_3,379526
netlist_3,706740
netlist_3,586968
netlist_3,803894
netlist_3,603096
netlist_3,637038
netlist_3,564726
netlist_3,461472
netlist_3,703250
netlist_3,469924
netlist_3,382224
netlist_3,410202
netlist_3,647208
netlist_3,497360
netlist_3,344296
netlist_3,512730
netlist_3,494884
netlist_3,610692
netlist_3,599922
netlist_3,583804
netlist_3,827776
netlist_3,899634
netlist_3,279032
netlist_3,419924
netlist_3,391208
netlist_3,484518
netlist_3,681676
netlist_3,802912
netlist_3,501574
netlist_3,833436
netlist_3,288718
netlist_3,607892
netlist_3,258400
netlist_3,926560
netlist_3,457938
netlist_3,509908
netlist_3,273548
netlist_3,342522
netlist_3,475056
netlist_3,761004
netlist_3,796348
netlist_3,494502
netlist_3,395702
netlist_3,672760
netlist_3,352426
netlist_3,331548
netlist_3,445644
netlist_3,529334
netlist_3,610204
netlist_3,687778
netlist_3,472140
netlist_3,458140
netlist_3,473770
netlist_3,814678
netlist_3,916664
netlist_3,385236
netlist_3,365014
netlist_3,880216
netlist_3,481658
netlist_3,396718
netlist_3,508624
netlist_3,341526
netlist_3,570654
netlist_3,850534
netlist_3,423770
netlist_3,787722
netlist_3,541306
netlist_3,1135494
netlist_3,380174
