net,cost
netlist_1,205410
netlist_1,199626
netlist_1,334244
netlist_1,122296
netlist_1,199148
netlist_1,146372
netlist_1,170632
netlist_1,417858
netlist_1,242652
netlist_1,133916
netlist_1,489942
netlist_1,238780
netlist_1,103262
netlist_1,268782
netlist_1,174360
netlist_1,140394
netlist_1,227590
netlist_1,269232
netlist_1,344066
netlist_1,286842
netlist_1,336976
netlist_1,95042
netlist_1,390356
netlist_1,144244
netlist_1,229390
netlist_1,329654
netlist_1,187286
netlist_1,733482
netlist_1,291530
netlist_1,260236
netlist_1,561026
netlist_1,46318
netlist_1,247808
netlist_1,235850
netlist_1,74070
netlist_1,206252
netlist_1,631498
netlist_1,366786
netlist_1,90748
netlist_1,126900
netlist_1,85714
netlist_1,76034
netlist_1,371582
netlist_1,375594
netlist_1,240050
netlist_1,120830
netlist_1,359998
netlist_1,95316
netlist_1,166652
netlist_1,288254
netlist_1,250848
netlist_1,93848
netlist_1,191366
netlist_1,227408
netlist_1,142672
netlist_1,103150
netlist_1,305418
netlist_1,168456
netlist_1,269182
netlist_1,158376
netlist_1,266840
netlist_1,173450
netlist_1,375342
netlist_1,182612
netlist_1,165052
netlist_1,151318
netlist_1,210510
netlist_1,111434
netlist_1,253638
netlist_1,288162
netlist_1,489054
netlist_1,399634
netlist_1,142532
netlist_1,134382
netlist_1,193364
netlist_1,165286
netlist_1,170742
netlist_1,149450
netlist_1,437024
netlist_1,156148
netlist_1,104866
netlist_1,251250
netlist_1,366588
netlist_1,282446
netlist_1,219456
netlist_1,443126
netlist_1,187518
netlist_1,182038
netlist_1,289896
netlist_1,121658
netlist_1,135336
netlist_1,419046
netlist_1,207228
netlist_1,75446
netlist_1,132774
netlist_1,234292
netlist_1,141190
netlist_1,152052
netlist_1,289674
netlist_1,236710
netlist_1,172148
netlist_1,359274
netlist_1,153862
netlist_1,159926
netlist_1,343170
netlist_1,115884
netlist_1,45686
netlist_1,365772
netlist_1,309828
netlist_1,221050
netlist_1,189774
netlist_1,43796
netlist_1,218374
netlist_1,152706
netlist_1,173666
netlist_1,25408
netlist_1,35096
netlist_1,161848
netlist_1,161880
netlist_1,268524
netlist_1,205718
netlist_1,484900
netlist_1,321022
netlist_1,176104
netlist_1,234450
netlist_1,262124
netlist_1,316870
netlist_1,97826
netlist_1,152196
netlist_1,400126
netlist_1,107882
netlist_1,370124
netlist_1,421670
netlist_1,190832
netlist_1,194686
netlist_1,503384
netlist_1,330074
netlist_1,159242
netlist_1,243076
netlist_1,240076
netlist_1,185940
netlist_1,28424
netlist_1,221038
netlist_1,522072
netlist_1,131642
netlist_1,510874
netlist_1,437824
netlist_1,135154
netlist_1,156160
netlist_1,186406
netlist_1,376832
netlist_1,253284
netlist_1,522038
netlist_1,9038
netlist_1,359628
netlist_1,192204
netlist_1,201474
netlist_1,187512
netlist_1,104336
netlist_1,115134
netlist_1,254150
netlist_1,314484
netlist_1,519674
netlist_1,361302
netlist_1,254650
netlist_1,380708
netlist_1,130688
netlist_1,62266
netlist_1,162758
netlist_1,71984
netlist_1,323322
netlist_1,524610
netlist_1,68752
netlist_1,81896
netlist_1,115524
netlist_1,280080
netlist_1,288446
netlist_1,196364
netlist_1,461902
netlist_1,86146
netlist_1,90454
netlist_1,298974
netlist_1,266196
netlist_1,288536
netlist_1,599128
netlist_1,119048
netlist_1,209160
