net,cost
netlist_3,893506
netlist_3,657200
netlist_3,392828
netlist_3,520804
netlist_3,576408
netlist_3,421656
netlist_3,473724
netlist_3,364366
netlist_3,276932
netlist_3,404366
netlist_3,419950
netlist_3,540304
netlist_3,886334
netlist_3,498980
netlist_3,619090
netlist_3,349732
netlist_3,886166
netlist_3,571792
netlist_3,738240
netlist_3,442204
netlist_3,1017870
netlist_3,666470
netlist_3,508176
netlist_3,808410
netlist_3,471672
netlist_3,457338
netlist_3,523880
netlist_3,710572
netlist_3,337478
netlist_3,1109068
netlist_3,577354
netlist_3,484706
netlist_3,331576
netlist_3,511484
netlist_3,793652
netlist_3,417606
netlist_3,379500
netlist_3,531512
netlist_3,306464
netlist_3,382048
netlist_3,278424
netlist_3,737506
netlist_3,621434
netlist_3,479826
netlist_3,565944
netlist_3,553900
netlist_3,752960
netlist_3,501790
netlist_3,556340
netlist_3,646890
netlist_3,573368
netlist_3,1065892
netlist_3,794532
netlist_3,519026
netlist_3,497210
netlist_3,758422
netlist_3,976354
netlist_3,546318
netlist_3,375978
netlist_3,768652
netlist_3,885028
netlist_3,436450
netlist_3,920770
netlist_3,211980
netlist_3,829574
netlist_3,636840
netlist_3,413384
netlist_3,842350
netlist_3,219116
netlist_3,700086
netlist_3,707582
netlist_3,692392
netlist_3,665076
netlist_3,634240
netlist_3,198130
netlist_3,568354
netlist_3,605212
netlist_3,1051756
netlist_3,348544
netlist_3,821526
netlist_3,484524
netlist_3,358846
netlist_3,300860
netlist_3,511708
netlist_3,515158
netlist_3,821178
netlist_3,451584
netlist_3,1004718
netlist_3,778092
netlist_3,817128
netlist_3,791244
netlist_3,564776
netlist_3,539964
netlist_3,826234
netlist_3,828738
netlist_3,745878
netlist_3,912140
netlist_3,452274
netlist_3,294682
netlist_3,355274
