net,cost
netlist_1,150262
netlist_1,157894
netlist_1,360846
netlist_1,111770
netlist_1,295198
netlist_1,287474
netlist_1,246908
netlist_1,358748
netlist_1,257430
netlist_1,301394
netlist_1,253976
netlist_1,381332
netlist_1,363462
netlist_1,512146
netlist_1,502926
netlist_1,254260
netlist_1,144918
netlist_1,38072
netlist_1,300390
netlist_1,83938
netlist_1,282440
netlist_1,238190
netlist_1,215616
netlist_1,119292
netlist_1,79670
netlist_1,323652
netlist_1,324896
netlist_1,430978
netlist_1,341888
netlist_1,86754
netlist_1,400714
netlist_1,519984
netlist_1,286906
netlist_1,113448
netlist_1,645842
netlist_1,475278
netlist_1,228916
netlist_1,220476
netlist_1,76336
netlist_1,272970
netlist_1,209440
netlist_1,237688
netlist_1,271124
netlist_1,440254
netlist_1,210290
netlist_1,226412
netlist_1,147998
netlist_1,239614
netlist_1,248496
netlist_1,398072
netlist_1,188898
netlist_1,180902
netlist_1,311402
netlist_1,208776
netlist_1,379330
netlist_1,239350
netlist_1,233068
netlist_1,238246
netlist_1,57178
netlist_1,293870
netlist_1,66686
netlist_1,109052
netlist_1,68872
netlist_1,255520
netlist_1,45824
netlist_1,685996
netlist_1,199906
netlist_1,48288
netlist_1,180686
netlist_1,431510
netlist_1,471052
netlist_1,149192
netlist_1,547884
netlist_1,432028
netlist_1,379224
netlist_1,226622
netlist_1,39572
netlist_1,324172
netlist_1,372082
netlist_1,138116
netlist_1,336624
netlist_1,179804
netlist_1,193066
netlist_1,219478
netlist_1,258868
netlist_1,406846
netlist_1,92102
netlist_1,221260
netlist_1,271804
netlist_1,227622
netlist_1,247124
netlist_1,73090
netlist_1,195494
netlist_1,49398
netlist_1,208282
netlist_1,331188
netlist_1,81662
netlist_1,81950
netlist_1,110700
netlist_1,49290
netlist_1,238698
netlist_1,519388
netlist_1,358316
netlist_1,134152
netlist_1,423712
netlist_1,303666
netlist_1,110524
netlist_1,166956
netlist_1,322542
netlist_1,166656
netlist_1,593944
netlist_1,457508
netlist_1,395378
netlist_1,348246
netlist_1,93168
netlist_1,638558
netlist_1,196762
netlist_1,469854
netlist_1,135340
netlist_1,316030
netlist_1,239068
netlist_1,87754
netlist_1,291802
netlist_1,266532
netlist_1,155846
netlist_1,158290
netlist_1,200528
netlist_1,539976
netlist_1,363090
netlist_1,231880
netlist_1,360758
netlist_1,264480
netlist_1,229904
netlist_1,317994
netlist_1,398806
netlist_1,69726
netlist_1,234404
netlist_1,420444
netlist_1,201892
netlist_1,148776
netlist_1,188280
netlist_1,280040
netlist_1,165046
netlist_1,820072
netlist_1,95822
netlist_1,97790
netlist_1,938316
netlist_1,147794
netlist_1,280852
netlist_1,227338
netlist_1,573180
netlist_1,259380
netlist_1,151114
netlist_1,555112
netlist_1,196948
netlist_1,49552
netlist_1,183188
netlist_1,287682
netlist_1,262548
netlist_1,74100
netlist_1,94114
netlist_1,385958
netlist_1,212660
netlist_1,418702
netlist_1,382776
netlist_1,391552
netlist_1,368782
netlist_1,346308
netlist_1,180914
netlist_1,129150
netlist_1,116996
netlist_1,169010
netlist_1,109064
netlist_1,386456
netlist_1,423680
netlist_1,440928
netlist_1,235044
netlist_1,287506
netlist_1,535768
netlist_1,142136
netlist_1,568468
netlist_1,291022
netlist_1,337930
netlist_1,145792
netlist_1,227916
netlist_1,314360
netlist_1,583152
netlist_1,279076
netlist_1,57234
netlist_1,31318
netlist_1,178024
netlist_1,510418
netlist_1,351346
netlist_1,23302
netlist_1,481458
netlist_1,175120
netlist_1,387154
netlist_1,159162
netlist_1,123836
netlist_1,384672
netlist_1,389114
netlist_1,561298
netlist_1,362436
netlist_1,131678
netlist_1,271976
netlist_1,280834
netlist_1,169644
netlist_1,197292
netlist_1,201082
netlist_1,144886
netlist_1,123918
netlist_1,94340
netlist_1,200902
netlist_1,131592
netlist_1,450044
netlist_1,184360
netlist_1,128084
netlist_1,380442
netlist_1,129060
netlist_1,391198
netlist_1,341138
netlist_1,80392
netlist_1,107460
netlist_1,377360
netlist_1,591968
netlist_1,319028
netlist_1,54064
netlist_1,145572
netlist_1,45414
netlist_1,165712
netlist_1,50158
netlist_1,376924
netlist_1,292684
netlist_1,471444
netlist_1,191010
netlist_1,231324
netlist_1,362492
netlist_1,91986
netlist_1,174408
netlist_1,214640
netlist_1,257460
netlist_1,196710
netlist_1,268498
netlist_1,276680
netlist_1,148080
netlist_1,182986
netlist_1,268750
netlist_1,33770
netlist_1,295186
netlist_1,222042
netlist_1,286588
netlist_1,356678
netlist_1,97872
netlist_1,388954
netlist_1,90336
netlist_1,587310
netlist_1,265408
netlist_1,319262
netlist_1,316432
netlist_1,172360
netlist_1,219050
netlist_1,580686
netlist_1,58270
netlist_1,125638
netlist_1,132890
netlist_1,180522
netlist_1,214412
netlist_1,232148
netlist_1,381268
netlist_1,121246
netlist_1,250312
netlist_1,67376
netlist_1,36572
netlist_1,214100
netlist_1,464738
netlist_1,276006
netlist_1,155838
netlist_1,82826
netlist_1,265966
netlist_1,483412
netlist_1,142942
netlist_1,395008
netlist_1,52784
netlist_1,221834
netlist_1,300820
