net,cost
netlist_1,26278
netlist_1,307224
netlist_1,134388
netlist_1,392498
netlist_1,436566
netlist_1,413930
netlist_1,162900
netlist_1,123422
netlist_1,48084
netlist_1,74958
netlist_1,99740
netlist_1,488208
netlist_1,287974
netlist_1,131596
netlist_1,274590
netlist_1,238880
netlist_1,308156
netlist_1,18442
netlist_1,106826
netlist_1,157432
netlist_1,118654
netlist_1,487824
netlist_1,419550
netlist_1,541578
netlist_1,90422
netlist_1,221066
netlist_1,304438
netlist_1,127634
netlist_1,546678
netlist_1,388920
netlist_1,75170
netlist_1,130416
netlist_1,166630
netlist_1,328428
netlist_1,273310
netlist_1,105100
netlist_1,109266
netlist_1,565144
netlist_1,389934
netlist_1,119862
netlist_1,93898
netlist_1,797060
netlist_1,52144
netlist_1,100242
netlist_1,699072
netlist_1,227022
netlist_1,223728
netlist_1,151192
netlist_1,312720
netlist_1,229762
netlist_1,194154
netlist_1,217708
netlist_1,44492
netlist_1,317084
netlist_1,356274
netlist_1,286172
netlist_1,222406
netlist_1,154976
netlist_1,213388
netlist_1,108218
netlist_1,108732
netlist_1,510598
netlist_1,77484
netlist_1,381242
netlist_1,187460
netlist_1,330484
netlist_1,236676
netlist_1,317788
netlist_1,374316
netlist_1,134712
netlist_1,313802
netlist_1,382230
netlist_1,333444
netlist_1,149166
netlist_1,223894
netlist_1,305398
netlist_1,128988
netlist_1,38778
netlist_1,87406
netlist_1,348688
netlist_1,392012
netlist_1,484218
netlist_1,152906
netlist_1,66310
netlist_1,252624
netlist_1,156564
netlist_1,144078
netlist_1,201904
netlist_1,428926
netlist_1,701284
netlist_1,197482
netlist_1,180438
netlist_1,600720
netlist_1,129962
netlist_1,265858
netlist_1,164128
netlist_1,522846
netlist_1,417518
netlist_1,333854
netlist_1,202658
