net,cost
netlist_1,64556
netlist_1,155986
netlist_1,412248
netlist_1,92436
netlist_1,210194
netlist_1,363588
netlist_1,148400
netlist_1,200020
netlist_1,333814
netlist_1,155868
netlist_1,18136
netlist_1,182778
netlist_1,109726
netlist_1,590452
netlist_1,528852
netlist_1,173290
netlist_1,272180
netlist_1,247138
netlist_1,149686
netlist_1,362978
netlist_1,280370
netlist_1,102124
netlist_1,137490
netlist_1,200936
netlist_1,108178
netlist_1,487142
netlist_1,351698
netlist_1,166814
netlist_1,481206
netlist_1,221398
netlist_1,136304
netlist_1,178520
netlist_1,710900
netlist_1,468180
netlist_1,459918
netlist_1,570510
netlist_1,467296
netlist_1,156720
netlist_1,219060
netlist_1,130646
netlist_1,245826
netlist_1,381124
netlist_1,208292
netlist_1,74146
netlist_1,364600
netlist_1,552470
netlist_1,293040
netlist_1,449608
netlist_1,262400
netlist_1,289120
netlist_1,383756
netlist_1,150336
netlist_1,246032
netlist_1,298632
netlist_1,129392
netlist_1,355520
netlist_1,337832
netlist_1,411282
netlist_1,273498
netlist_1,494928
netlist_1,296020
netlist_1,230020
netlist_1,561698
netlist_1,96802
netlist_1,64220
netlist_1,214170
netlist_1,77996
netlist_1,296906
netlist_1,367686
netlist_1,177918
netlist_1,229116
netlist_1,184604
netlist_1,205766
netlist_1,173940
netlist_1,88326
netlist_1,472486
netlist_1,216732
netlist_1,74840
netlist_1,388932
netlist_1,282960
netlist_1,281422
netlist_1,369284
netlist_1,221132
netlist_1,214178
netlist_1,307248
netlist_1,131414
netlist_1,346936
netlist_1,264980
netlist_1,247934
netlist_1,317698
netlist_1,197630
netlist_1,184522
netlist_1,291380
netlist_1,174554
netlist_1,419992
netlist_1,103152
netlist_1,104550
netlist_1,211408
netlist_1,335092
netlist_1,246030
netlist_1,316880
netlist_1,98406
netlist_1,454136
netlist_1,289254
netlist_1,136668
netlist_1,477772
netlist_1,239494
netlist_1,100182
netlist_1,94138
netlist_1,139920
netlist_1,211416
netlist_1,145276
netlist_1,206664
netlist_1,413782
netlist_1,612044
netlist_1,119274
netlist_1,159162
netlist_1,344588
netlist_1,323524
netlist_1,189678
netlist_1,169920
netlist_1,357348
netlist_1,94816
netlist_1,110212
netlist_1,148782
netlist_1,84016
netlist_1,281816
netlist_1,117018
netlist_1,490702
netlist_1,36294
netlist_1,30888
netlist_1,78610
netlist_1,173146
netlist_1,206336
netlist_1,197966
netlist_1,117372
netlist_1,626726
netlist_1,140414
netlist_1,122736
netlist_1,172242
netlist_1,386668
netlist_1,225192
netlist_1,573488
netlist_1,375114
netlist_1,106338
netlist_1,118692
netlist_1,115346
netlist_1,376556
netlist_1,220090
netlist_1,61938
netlist_1,285292
netlist_1,61104
netlist_1,182666
netlist_1,59212
netlist_1,134500
netlist_1,138844
netlist_1,195402
netlist_1,286292
netlist_1,396162
netlist_1,199006
netlist_1,273356
netlist_1,264188
netlist_1,680710
netlist_1,245028
netlist_1,97932
netlist_1,270612
netlist_1,563036
netlist_1,172792
netlist_1,196224
netlist_1,215538
netlist_1,71176
netlist_1,131656
netlist_1,263496
netlist_1,80502
netlist_1,320436
netlist_1,185124
netlist_1,213344
netlist_1,246326
netlist_1,424274
netlist_1,176056
netlist_1,325154
netlist_1,262380
netlist_1,234706
netlist_1,151056
netlist_1,40672
netlist_1,192526
netlist_1,201924
netlist_1,231968
netlist_1,380590
netlist_1,102920
netlist_1,244228
netlist_1,165162
netlist_1,121986
netlist_1,168552
netlist_1,200146
netlist_1,120690
netlist_1,186042
netlist_1,167076
netlist_1,292048
netlist_1,322700
