net,cost
netlist_1,73644
netlist_1,255672
netlist_1,67162
netlist_1,105024
netlist_1,309498
netlist_1,95958
netlist_1,241326
netlist_1,126046
netlist_1,97590
netlist_1,257386
netlist_1,244864
netlist_1,17052
netlist_1,89100
netlist_1,682958
netlist_1,495232
netlist_1,120640
netlist_1,277968
netlist_1,290426
netlist_1,248376
netlist_1,601194
netlist_1,153494
netlist_1,288814
netlist_1,89718
netlist_1,23392
netlist_1,35042
netlist_1,379498
netlist_1,131720
netlist_1,218078
netlist_1,118296
netlist_1,191194
netlist_1,252212
netlist_1,242124
netlist_1,324684
netlist_1,323918
netlist_1,191636
netlist_1,112298
netlist_1,434590
netlist_1,371094
netlist_1,213590
netlist_1,700144
netlist_1,144708
netlist_1,244316
netlist_1,149098
netlist_1,199604
netlist_1,326252
netlist_1,252368
netlist_1,327556
netlist_1,162806
netlist_1,288428
netlist_1,290380
netlist_1,185444
netlist_1,600000
netlist_1,355142
netlist_1,243420
netlist_1,182856
netlist_1,146174
netlist_1,167952
netlist_1,299486
netlist_1,35436
netlist_1,241986
netlist_1,284674
netlist_1,206822
netlist_1,83468
netlist_1,334450
netlist_1,260616
netlist_1,150934
netlist_1,90102
netlist_1,200684
netlist_1,767612
netlist_1,205028
netlist_1,433902
netlist_1,268380
netlist_1,20350
netlist_1,75098
netlist_1,158374
netlist_1,239526
netlist_1,176054
netlist_1,375430
netlist_1,183484
netlist_1,533082
netlist_1,37744
netlist_1,223848
netlist_1,98240
netlist_1,432242
netlist_1,601522
netlist_1,208372
netlist_1,64688
netlist_1,184274
netlist_1,97964
netlist_1,146236
netlist_1,173380
netlist_1,44180
netlist_1,97498
netlist_1,144824
netlist_1,248260
netlist_1,135170
netlist_1,191192
netlist_1,252528
netlist_1,288142
netlist_1,86618
netlist_1,47858
netlist_1,217358
netlist_1,524812
netlist_1,375314
netlist_1,235052
netlist_1,121006
netlist_1,174710
netlist_1,170392
netlist_1,375026
netlist_1,26830
netlist_1,306088
netlist_1,224644
netlist_1,72024
netlist_1,153224
netlist_1,82546
netlist_1,464008
netlist_1,185346
netlist_1,94598
netlist_1,142468
netlist_1,331892
netlist_1,98374
netlist_1,199514
netlist_1,246278
netlist_1,139720
netlist_1,365902
netlist_1,282688
netlist_1,528882
netlist_1,206686
netlist_1,582358
netlist_1,46754
netlist_1,290100
netlist_1,247252
netlist_1,170526
netlist_1,203722
netlist_1,207798
netlist_1,449012
netlist_1,299398
netlist_1,309006
netlist_1,434786
netlist_1,207968
netlist_1,210750
netlist_1,280312
netlist_1,75470
netlist_1,121304
netlist_1,291276
netlist_1,216806
netlist_1,246036
netlist_1,144428
netlist_1,43918
netlist_1,411100
netlist_1,586408
netlist_1,280192
netlist_1,218376
netlist_1,118600
netlist_1,385746
netlist_1,164522
netlist_1,464078
netlist_1,174296
netlist_1,274270
netlist_1,30752
netlist_1,170638
netlist_1,36622
netlist_1,307940
netlist_1,180734
netlist_1,354502
netlist_1,411136
netlist_1,388634
netlist_1,295676
netlist_1,42236
netlist_1,562714
netlist_1,243906
netlist_1,214116
netlist_1,321684
netlist_1,389628
netlist_1,270976
netlist_1,299778
netlist_1,260564
netlist_1,331344
netlist_1,510650
netlist_1,208064
netlist_1,454534
netlist_1,429328
netlist_1,271606
netlist_1,277638
netlist_1,189900
netlist_1,22494
netlist_1,315512
netlist_1,31602
netlist_1,124050
netlist_1,487720
netlist_1,54452
netlist_1,245014
netlist_1,251696
netlist_1,212086
netlist_1,79250
netlist_1,213990
netlist_1,141074
netlist_1,154808
netlist_1,162020
netlist_1,63098
netlist_1,305664
netlist_1,322126
netlist_1,628052
netlist_1,254582
netlist_1,216300
netlist_1,97728
netlist_1,232662
netlist_1,93118
netlist_1,264026
netlist_1,295858
netlist_1,222760
netlist_1,393966
netlist_1,210446
netlist_1,178764
netlist_1,274340
netlist_1,300670
netlist_1,303440
netlist_1,68718
netlist_1,519558
netlist_1,556346
netlist_1,251972
netlist_1,149494
netlist_1,654586
netlist_1,234362
netlist_1,253790
netlist_1,207592
netlist_1,221414
netlist_1,515462
netlist_1,61060
netlist_1,104542
netlist_1,481916
netlist_1,225122
netlist_1,156392
netlist_1,263196
netlist_1,203226
netlist_1,161888
netlist_1,259470
netlist_1,321202
netlist_1,79006
netlist_1,516614
netlist_1,524626
netlist_1,150018
netlist_1,133146
netlist_1,381600
netlist_1,118210
netlist_1,240466
netlist_1,127912
netlist_1,236936
netlist_1,360862
netlist_1,136084
netlist_1,292788
netlist_1,436300
netlist_1,152956
netlist_1,316120
netlist_1,754912
netlist_1,206810
netlist_1,62546
netlist_1,626578
netlist_1,216300
netlist_1,494354
netlist_1,288276
netlist_1,923410
netlist_1,674738
netlist_1,294338
netlist_1,132920
netlist_1,163340
netlist_1,345248
netlist_1,391384
netlist_1,498554
netlist_1,197698
netlist_1,241974
netlist_1,474158
netlist_1,197572
netlist_1,133420
netlist_1,203480
netlist_1,172496
netlist_1,127938
netlist_1,177496
netlist_1,386956
netlist_1,200802
netlist_1,519850
netlist_1,128036
netlist_1,109262
netlist_1,660080
netlist_1,337058
netlist_1,360068
netlist_1,245790
netlist_1,188634
netlist_1,233548
netlist_1,386368
netlist_1,131454
netlist_1,137528
netlist_1,61872
netlist_1,422226
netlist_1,72608
netlist_1,391504
netlist_1,151630
netlist_1,198634
netlist_1,147132
netlist_1,185182
netlist_1,330036
netlist_1,206406
netlist_1,251674
netlist_1,361062
netlist_1,51768
netlist_1,612562
netlist_1,346206
netlist_1,43584
netlist_1,265940
netlist_1,133896
netlist_1,263004
netlist_1,224558
netlist_1,477448
netlist_1,176600
netlist_1,236072
netlist_1,234328
netlist_1,541114
netlist_1,369614
netlist_1,34990
netlist_1,678690
netlist_1,181978
netlist_1,265030
netlist_1,623924
netlist_1,489948
netlist_1,157598
netlist_1,220556
netlist_1,375194
netlist_1,69340
netlist_1,368130
netlist_1,143994
netlist_1,353980
netlist_1,254600
netlist_1,473384
netlist_1,104166
netlist_1,414832
netlist_1,188362
netlist_1,198196
netlist_1,121536
netlist_1,40166
netlist_1,295546
netlist_1,251914
netlist_1,65800
netlist_1,257022
netlist_1,179074
netlist_1,217628
netlist_1,987882
netlist_1,126232
netlist_1,178142
netlist_1,114132
netlist_1,432246
netlist_1,318132
netlist_1,360448
netlist_1,279580
netlist_1,382972
netlist_1,49310
netlist_1,285240
netlist_1,39674
netlist_1,318236
netlist_1,43112
netlist_1,251570
netlist_1,119004
netlist_1,168148
netlist_1,252754
netlist_1,397748
netlist_1,335980
netlist_1,283298
netlist_1,82180
netlist_1,338552
netlist_1,81848
