test,cost
better,922
better,624
better,624
better,624
better,622
better,622
better,622
better,622
better,622
better,326
better,326
better,1220
better,924
better,924
better,636
better,338
better,338
better,338
better,338
better,34
better,34
better,34
better,22
better,22
better,22
better,22
better,22
better,22
better,22
better,22
better,20
better,20
better,20
better,20
