test,cost
sort_basic_astar,20
sort_reverse_astar,24
sort_short_astar,22
sort_long_astar,20
sort_least-connections_astar,20
sort_most-connections_astar,20
sort_sum-lowest_astar,20
sort_sum-highest_astar,20
sort_middle_astar,22
sort_outside_astar,22
sort_intra-quadrant_astar,20
sort_inter-quadrant_astar,22
sort_manhattan_astar,22
sort_x_astar,20
sort_y_astar,22
sort_x-rev_astar,24
"sort_y,rev_astar",20
sort_weighted_astar,22
sort_weighted-rev_astar,22
sort_basic_astar,20
sort_reverse_astar,24
sort_short_astar,22
sort_long_astar,20
sort_least-connections_astar,20
sort_most-connections_astar,20
sort_sum-lowest_astar,20
sort_sum-highest_astar,20
sort_middle_astar,22
sort_outside_astar,22
sort_intra-quadrant_astar,20
sort_inter-quadrant_astar,22
sort_manhattan_astar,22
sort_x_astar,20
sort_y_astar,22
sort_x-rev_astar,24
"sort_y,rev_astar",20
sort_weighted_astar,22
sort_weighted-rev_astar,22
random_try_0,22
random_try_1,24
random_try_2,22
random_try_3,22
random_try_4,22
random_try_5,22
random_try_6,24
random_try_7,24
random_try_8,24
random_try_9,22
sort_basic_astar,20
sort_reverse_astar,24
sort_short_astar,22
sort_long_astar,20
sort_least-connections_astar,20
sort_most-connections_astar,20
sort_sum-lowest_astar,20
sort_sum-highest_astar,20
sort_middle_astar,22
sort_outside_astar,22
sort_intra-quadrant_astar,20
sort_inter-quadrant_astar,22
sort_manhattan_astar,22
sort_x_astar,20
sort_y_astar,22
sort_x-rev_astar,24
"sort_y,rev_astar",20
sort_weighted_astar,22
sort_weighted-rev_astar,22
sort_basic_astar,20
sort_reverse_astar,24
sort_short_astar,22
sort_long_astar,20
sort_least-connections_astar,20
sort_most-connections_astar,20
sort_sum-lowest_astar,20
sort_sum-highest_astar,20
sort_middle_astar,22
sort_outside_astar,22
sort_intra-quadrant_astar,20
sort_inter-quadrant_astar,22
sort_manhattan_astar,22
sort_x_astar,20
sort_y_astar,22
sort_x-rev_astar,24
"sort_y,rev_astar",20
sort_weighted_astar,22
sort_weighted-rev_astar,22
sort_basic_astar,20
sort_reverse_astar,24
sort_short_astar,22
sort_long_astar,20
sort_least-connections_astar,20
sort_most-connections_astar,20
sort_sum-lowest_astar,20
sort_sum-highest_astar,20
sort_middle_astar,22
sort_outside_astar,22
sort_intra-quadrant_astar,20
sort_inter-quadrant_astar,22
sort_manhattan_astar,22
sort_x_astar,20
sort_y_astar,22
sort_x-rev_astar,24
"sort_y,rev_astar",20
sort_weighted_astar,22
sort_weighted-rev_astar,22
sort_inter-quadrant_astar,22
sort_inter-quadrant_astar,22
random_try_0,22
random_try_1,24
random_try_2,22
random_try_3,22
random_try_4,24
